#     d1           d2          d4          d8          op
     20.000      29.000      36.000       5.000      10.000
     10.000      20.000      58.000      11.000       8.000
      8.000      10.000      29.000      16.000       3.000
      3.000       8.000      20.000      23.000       0.000
      0.000       3.000      10.000      36.000       0.000
      0.000       0.000       8.000      58.000       2.000
      2.000       0.000       3.000      29.000      11.000
     11.000       2.000       0.000      20.000      27.000
     27.000      11.000       0.000      10.000      47.000
     47.000      27.000       2.000       8.000      63.000
     63.000      47.000      11.000       3.000      60.000
     60.000      63.000      27.000       0.000      39.000
     39.000      60.000      47.000       0.000      28.000
     28.000      39.000      63.000       2.000      26.000
     26.000      28.000      60.000      11.000      22.000
     22.000      26.000      39.000      27.000      11.000
     11.000      22.000      28.000      47.000      21.000
     21.000      11.000      26.000      63.000      40.000
     40.000      21.000      22.000      60.000      78.000
     78.000      40.000      11.000      39.000     122.000
    122.000      78.000      21.000      28.000     103.000
    103.000     122.000      40.000      26.000      73.000
     73.000     103.000      78.000      22.000      47.000
     47.000      73.000     122.000      11.000      35.000
     35.000      47.000     103.000      21.000      11.000
     11.000      35.000      73.000      40.000       5.000
      5.000      11.000      47.000      78.000      16.000
     16.000       5.000      35.000     122.000      34.000
     34.000      16.000      11.000     103.000      70.000
     70.000      34.000       5.000      73.000      81.000
     81.000      70.000      16.000      47.000     111.000
    111.000      81.000      34.000      35.000     101.000
    101.000     111.000      70.000      11.000      73.000
     73.000     101.000      81.000       5.000      40.000
     40.000      73.000     111.000      16.000      20.000
     20.000      40.000     101.000      34.000      16.000
     16.000      20.000      73.000      70.000       5.000
      5.000      16.000      40.000      81.000      11.000
     11.000       5.000      20.000     111.000      22.000
     22.000      11.000      16.000     101.000      40.000
     40.000      22.000       5.000      73.000      60.000
     60.000      40.000      11.000      40.000      80.900
     80.900      60.000      22.000      20.000      83.400
     83.400      80.900      40.000      16.000      47.700
     47.700      83.400      60.000       5.000      47.800
     47.800      47.700      80.900      11.000      30.700
     30.700      47.800      83.400      22.000      12.200
     12.200      30.700      47.700      40.000       9.600
      9.600      12.200      47.800      60.000      10.200
     10.200       9.600      30.700      80.900      32.400
     32.400      10.200      12.200      83.400      47.600
     47.600      32.400       9.600      47.700      54.000
     54.000      47.600      10.200      47.800      62.900
     62.900      54.000      32.400      30.700      85.900
     85.900      62.900      47.600      12.200      61.200
     61.200      85.900      54.000       9.600      45.100
     45.100      61.200      62.900      10.200      36.400
     36.400      45.100      85.900      32.400      20.900
     20.900      36.400      61.200      47.600      11.400
     11.400      20.900      45.100      54.000      37.800
     37.800      11.400      36.400      62.900      69.800
     69.800      37.800      20.900      85.900     106.100
    106.100      69.800      11.400      61.200     100.800
    100.800     106.100      37.800      45.100      81.600
     81.600     100.800      69.800      36.400      66.500
     66.500      81.600     106.100      20.900      34.800
     34.800      66.500     100.800      11.400      30.600
     30.600      34.800      81.600      37.800       7.000
      7.000      30.600      66.500      69.800      19.800
     19.800       7.000      34.800     106.100      92.500
     92.500      19.800      30.600     100.800     154.400
    154.400      92.500       7.000      81.600     125.900
    125.900     154.400      19.800      66.500      84.800
     84.800     125.900      92.500      34.800      68.100
     68.100      84.800     154.400      30.600      38.500
     38.500      68.100     125.900       7.000      22.800
     22.800      38.500      84.800      19.800      10.200
     10.200      22.800      68.100      92.500      24.100
     24.100      10.200      38.500     154.400      82.900
     82.900      24.100      22.800     125.900     132.000
    132.000      82.900      10.200      84.800     130.900
    130.900     132.000      24.100      68.100     118.100
    118.100     130.900      82.900      38.500      89.900
     89.900     118.100     132.000      22.800      66.600
     66.600      89.900     130.900      10.200      60.000
     60.000      66.600     118.100      24.100      46.900
     46.900      60.000      89.900      82.900      41.000
     41.000      46.900      66.600     132.000      21.300
     21.300      41.000      60.000     130.900      16.000
     16.000      21.300      46.900     118.100       6.400
      6.400      16.000      41.000      89.900       4.100
      4.100       6.400      21.300      66.600       6.800
      6.800       4.100      16.000      60.000      14.500
     14.500       6.800       6.400      46.900      34.000
     34.000      14.500       4.100      41.000      45.000
     45.000      34.000       6.800      21.300      43.100
     43.100      45.000      14.500      16.000      47.500
     47.500      43.100      34.000       6.400      42.200
     42.200      47.500      45.000       4.100      28.100
     28.100      42.200      43.100       6.800      10.100
     10.100      28.100      47.500      14.500       8.100
      8.100      10.100      42.200      34.000       2.500
      2.500       8.100      28.100      45.000       0.000
      0.000       2.500      10.100      43.100       1.400
      1.400       0.000       8.100      47.500       5.000
      5.000       1.400       2.500      42.200      12.200
     12.200       5.000       0.000      28.100      13.900
     13.900      12.200       1.400      10.100      35.400
     35.400      13.900       5.000       8.100      45.800
     45.800      35.400      12.200       2.500      41.100
     41.100      45.800      13.900       0.000      30.100
     30.100      41.100      35.400       1.400      23.900
     23.900      30.100      45.800       5.000      15.600
     15.600      23.900      41.100      12.200       6.600
      6.600      15.600      30.100      13.900       4.000
      4.000       6.600      23.900      35.400       1.800
      1.800       4.000      15.600      45.800       8.500
      8.500       1.800       6.600      41.100      16.600
     16.600       8.500       4.000      30.100      36.300
     36.300      16.600       1.800      23.900      49.600
     49.600      36.300       8.500      15.600      64.200
     64.200      49.600      16.600       6.600      67.000
     67.000      64.200      36.300       4.000      70.900
     70.900      67.000      49.600       1.800      47.800
     47.800      70.900      64.200       8.500      27.500
     27.500      47.800      67.000      16.600       8.500
      8.500      27.500      70.900      36.300      13.200
     13.200       8.500      47.800      49.600      56.900
     56.900      13.200      27.500      64.200     121.500
    121.500      56.900       8.500      67.000     138.300
    138.300     121.500      13.200      70.900     103.200
    103.200     138.300      56.900      47.800      85.700
     85.700     103.200     121.500      27.500      64.600
     64.600      85.700     138.300       8.500      36.700
     36.700      64.600     103.200      13.200      24.200
     24.200      36.700      85.700      56.900      10.700
     10.700      24.200      64.600     121.500      15.000
     15.000      10.700      36.700     138.300      40.100
     40.100      15.000      24.200     103.200      61.500
     61.500      40.100      10.700      85.700      98.500
     98.500      61.500      15.000      64.600     124.700
    124.700      98.500      40.100      36.700      96.300
     96.300     124.700      61.500      24.200      66.600
     66.600      96.300      98.500      10.700      64.500
     64.500      66.600     124.700      15.000      54.100
     54.100      64.500      96.300      40.100      39.000
     39.000      54.100      66.600      61.500      20.600
     20.600      39.000      64.500      98.500       6.700
      6.700      20.600      54.100     124.700       4.300
      4.300       6.700      39.000      96.300      22.700
     22.700       4.300      20.600      66.600      54.800
     54.800      22.700       6.700      64.500      93.800
     93.800      54.800       4.300      54.100      95.800
     95.800      93.800      22.700      39.000      77.200
     77.200      95.800      54.800      20.600      59.100
     59.100      77.200      93.800       6.700      44.000
     44.000      59.100      95.800       4.300      47.000
     47.000      44.000      77.200      22.700      30.500
     30.500      47.000      59.100      54.800      16.300
     16.300      30.500      44.000      93.800       7.300
      7.300      16.300      47.000      95.800      37.600
     37.600       7.300      30.500      77.200      74.000
     74.000      37.600      16.300      59.100     139.000
    139.000      74.000       7.300      44.000     111.200
    111.200     139.000      37.600      47.000     101.600
    101.600     111.200      74.000      30.500      66.200
     66.200     101.600     139.000      16.300      44.700
     44.700      66.200     111.200       7.300      17.000
     17.000      44.700     101.600      37.600      11.300
     11.300      17.000      66.200      74.000      12.400
     12.400      11.300      44.700     139.000       3.400
      3.400      12.400      17.000     111.200       6.000
      6.000       3.400      11.300     101.600      32.300
     32.300       6.000      12.400      66.200      54.300
     54.300      32.300       3.400      44.700      59.700
     59.700      54.300       6.000      17.000      63.700
     63.700      59.700      32.300      11.300      63.500
     63.500      63.700      54.300      12.400      52.200
     52.200      63.500      59.700       3.400      25.400
     25.400      52.200      63.700       6.000      13.100
     13.100      25.400      63.500      32.300       6.800
      6.800      13.100      52.200      54.300       6.300
      6.300       6.800      25.400      59.700       7.100
      7.100       6.300      13.100      63.700      35.600
     35.600       7.100       6.800      63.500      73.000
     73.000      35.600       6.300      52.200      85.100
     85.100      73.000       7.100      25.400      78.000
     78.000      85.100      35.600      13.100      64.000
     64.000      78.000      73.000       6.800      41.800
     41.800      64.000      85.100       6.300      26.200
     26.200      41.800      78.000       7.100      26.700
     26.700      26.200      64.000      35.600      12.100
     12.100      26.700      41.800      73.000       9.500
      9.500      12.100      26.200      85.100       2.700
      2.700       9.500      26.700      78.000       5.000
      5.000       2.700      12.100      64.000      24.400
     24.400       5.000       9.500      41.800      42.000
     42.000      24.400       2.700      26.200      63.500
     63.500      42.000       5.000      26.700      53.800
     53.800      63.500      24.400      12.100      62.000
     62.000      53.800      42.000       9.500      48.500
     48.500      62.000      63.500       2.700      43.900
     43.900      48.500      53.800       5.000      18.600
     18.600      43.900      62.000      24.400       5.700
      5.700      18.600      48.500      42.000       3.600
      3.600       5.700      43.900      63.500       1.400
      1.400       3.600      18.600      53.800       9.600
      9.600       1.400       5.700      62.000      47.400
     47.400       9.600       3.600      48.500      57.100
     57.100      47.400       1.400      43.900     103.900
    103.900      57.100       9.600      18.600      80.600
     80.600     103.900      47.400       5.700      63.600
     63.600      80.600      57.100       3.600      37.600
     37.600      63.600     103.900       1.400      26.100
     26.100      37.600      80.600       9.600      14.200
     14.200      26.100      63.600      47.400       5.800
      5.800      14.200      37.600      57.100      16.700
     16.700       5.800      26.100     103.900      44.300
     44.300      16.700      14.200      80.600      63.900
     63.900      44.300       5.800      63.600      69.000
     69.000      63.900      16.700      37.600      77.800
     77.800      69.000      44.300      26.100      64.900
     64.900      77.800      63.900      14.200      35.700
     35.700      64.900      69.000       5.800      21.200
     21.200      35.700      77.800      16.700      11.100
     11.100      21.200      64.900      44.300       5.700
      5.700      11.100      35.700      63.900       8.700
      8.700       5.700      21.200      69.000      36.100
     36.100       8.700      11.100      77.800      79.700
     79.700      36.100       5.700      64.900     114.400
    114.400      79.700       8.700      35.700     109.600
    109.600     114.400      36.100      21.200      88.800
     88.800     109.600      79.700      11.100      67.800
     67.800      88.800     114.400       5.700      47.500
     47.500      67.800     109.600       8.700      30.600
     30.600      47.500      88.800      36.100      16.300
     16.300      30.600      67.800      79.700       9.600
